dataset,maximum_candidate_cutoff,seed,method,original_nominal_candidates_per_second,actual_candidate_count,latency_s_per_query,corrected_throughput
fiqa,50,4,fp32_reranker_cpu,62.37759789259521,50.0,0.8015698213658762,62.37759789259521
fiqa,50,4,dynamic_int8_reranker_cpu,76.68599925951975,50.0,0.6520094995540275,76.68599925951975
fiqa,50,5,bm25_no_rerank,1125.9625965438304,50.0,0.04440644844995404,1125.9625965438304
fiqa,50,5,fp32_reranker_cpu,63.147816764746835,50.0,0.7917930114080082,63.147816764746835
fiqa,50,5,dynamic_int8_reranker_cpu,77.40497769695904,50.0,0.6459532899260084,77.40497769695904
fiqa,100,1,bm25_no_rerank,2227.099190812028,100.0,0.04490145765063062,2227.099190812028
fiqa,100,1,fp32_reranker_cpu,62.34014973476783,100.0,1.604102659769982,62.34014973476783
fiqa,100,1,dynamic_int8_reranker_cpu,76.27549037775887,100.0,1.3110371300760453,76.27549037775887
fiqa,100,2,bm25_no_rerank,2270.7688233749914,100.0,0.04403794828016544,2270.7688233749914
fiqa,100,2,fp32_reranker_cpu,62.4358226037189,100.0,1.6016446301140532,62.4358226037189
fiqa,100,2,dynamic_int8_reranker_cpu,76.61296336517647,100.0,1.3052621332939307,76.61296336517647
fiqa,100,3,bm25_no_rerank,2087.6029170937704,100.0,0.04790182997981901,2087.6029170937704
fiqa,100,3,fp32_reranker_cpu,61.235183200712406,100.0,1.6330481068739027,61.235183200712406
fiqa,100,3,dynamic_int8_reranker_cpu,77.8359241523401,100.0,1.2847538085920387,77.8359241523401
fiqa,100,4,bm25_no_rerank,2173.083022615292,100.0,0.046017569949835885,2173.083022615292
fiqa,100,4,fp32_reranker_cpu,63.68417160278734,100.0,1.5702488936139853,63.68417160278734
fiqa,100,4,dynamic_int8_reranker_cpu,78.03966972045517,100.0,1.2813995799598925,78.03966972045517
fiqa,100,5,bm25_no_rerank,2285.278509983519,100.0,0.04375834261038108,2285.278509983519
fiqa,100,5,fp32_reranker_cpu,61.78226964141683,100.0,1.6185873484479962,61.78226964141683
fiqa,100,5,dynamic_int8_reranker_cpu,75.55070456082237,100.0,1.3236143935559812,75.55070456082237
arguana,20,1,bm25_no_rerank,315.0411143910061,20.0,0.06348377747031918,315.0411143910061
arguana,20,1,fp32_reranker_cpu,61.02075088647895,20.0,0.32775735646398974,61.02075088647895
arguana,20,1,dynamic_int8_reranker_cpu,81.10522371838532,20.0,0.24659324126204593,81.10522371838532
arguana,20,2,bm25_no_rerank,291.9825425356884,20.0,0.06849724585008517,291.9825425356884
arguana,20,2,fp32_reranker_cpu,60.894042555535094,20.0,0.32843935401004276,60.894042555535094
